Date,Open,High,Low,Close,Adj Close,Volume
2018-04-04,1.301700,1.304890,1.295800,1.301740,1.301740,0
2018-04-05,1.295300,1.302700,1.294500,1.295340,1.295340,0
2018-04-06,1.303530,1.304200,1.298820,1.304070,1.304070,0
2018-04-09,1.302250,1.306700,1.297200,1.301700,1.301700,0
2018-04-10,1.298700,1.299700,1.287880,1.298770,1.298770,0
2018-04-11,1.288100,1.291900,1.286300,1.288000,1.288000,0
2018-04-12,1.288100,1.292000,1.286500,1.287800,1.287800,0
2018-04-13,1.288460,1.288600,1.280200,1.289100,1.289100,0
2018-04-16,1.286490,1.289700,1.284870,1.286260,1.286260,0
2018-04-17,1.286300,1.288500,1.283400,1.286520,1.286520,0
2018-04-18,1.287350,1.291000,1.282500,1.287500,1.287500,0
2018-04-19,1.283900,1.290600,1.279600,1.283880,1.283880,0
2018-04-20,1.295200,1.306180,1.294000,1.294770,1.294770,0
2018-04-23,1.305550,1.314100,1.301200,1.305500,1.305500,0
2018-04-24,1.315270,1.318800,1.311800,1.315200,1.315200,0
2018-04-25,1.315030,1.323900,1.315030,1.314700,1.314700,0
2018-04-26,1.321250,1.324800,1.317300,1.320800,1.320800,0
2018-04-27,1.323300,1.327500,1.320480,1.323300,1.323300,0
2018-04-30,1.320500,1.326900,1.318900,1.320100,1.320100,0
2018-05-01,1.327520,1.337900,1.325100,1.327600,1.327600,0
2018-05-02,1.336000,1.337400,1.328100,1.336380,1.336380,0
2018-05-03,1.335600,1.335700,1.325800,1.335700,1.335700,0
2018-05-04,1.328100,1.334500,1.322200,1.328300,1.328300,0
2018-05-07,1.328600,1.334400,1.325400,1.329040,1.329040,0
2018-05-08,1.330000,1.345030,1.328400,1.330000,1.330000,0
2018-05-09,1.343200,1.348800,1.338350,1.342400,1.342400,0
2018-05-10,1.340300,1.341200,1.327700,1.340600,1.340600,0
2018-05-11,1.328800,1.329100,1.321800,1.328700,1.328700,0
2018-05-14,1.324300,1.325600,1.321800,1.324310,1.324310,0
2018-05-15,1.328500,1.342390,1.326800,1.328730,1.328730,0
2018-05-16,1.338960,1.342550,1.330100,1.338960,1.338960,0
2018-05-17,1.330300,1.333390,1.324700,1.330200,1.330200,0
2018-05-18,1.332520,1.335200,1.328400,1.332200,1.332200,0
2018-05-21,1.329400,1.332700,1.320800,1.329030,1.329030,0
2018-05-22,1.319140,1.320400,1.314840,1.318800,1.318800,0
2018-05-23,1.319300,1.329200,1.318700,1.319450,1.319450,0
