Date,Open,High,Low,Close,Adj Close,Volume
2018-04-04,2.980000,3.190000,2.910000,3.050000,3.050000,14700
2018-04-05,3.200000,3.270000,3.100000,3.200000,3.200000,11000
2018-04-06,3.200000,3.200000,2.780000,2.950000,2.950000,36500
2018-04-09,2.900000,2.950000,2.800000,2.800000,2.800000,2300
2018-04-10,2.850000,2.950000,2.830000,2.950000,2.950000,4200
2018-04-11,2.950000,2.950000,2.850000,2.950000,2.950000,10900
2018-04-12,2.950000,3.000000,2.750000,3.000000,3.000000,8500
2018-04-13,2.950000,3.050000,2.850000,2.950000,2.950000,5600
2018-04-16,2.850000,2.900000,2.850000,2.900000,2.900000,29000
2018-04-17,2.850000,2.950000,2.850000,2.950000,2.950000,15400
2018-04-18,2.900000,3.000000,2.900000,2.900000,2.900000,6800
2018-04-19,3.000000,3.000000,2.750000,2.850000,2.850000,15000
2018-04-20,2.850000,2.850000,2.750000,2.800000,2.800000,13200
2018-04-23,2.750000,2.780000,2.700000,2.700000,2.700000,8500
2018-04-24,2.750000,2.800000,2.650000,2.800000,2.800000,15200
2018-04-25,2.800000,2.900000,2.750000,2.900000,2.900000,13400
2018-04-26,2.850000,2.950000,2.850000,2.950000,2.950000,5300
2018-04-27,2.950000,3.000000,2.900000,2.900000,2.900000,10100
2018-04-30,2.940000,3.100000,2.900000,3.050000,3.050000,8600
2018-05-01,3.000000,3.100000,2.950000,3.050000,3.050000,14700
2018-05-02,2.910000,3.200000,2.900000,3.200000,3.200000,32600
2018-05-03,2.950000,3.050000,2.950000,3.000000,3.000000,33600
2018-05-04,3.000000,3.050000,2.900000,3.000000,3.000000,75000
2018-05-07,2.950000,2.950000,2.800000,2.800000,2.800000,8500
2018-05-08,2.800000,2.800000,2.500000,2.550000,2.550000,20200
2018-05-09,2.600000,2.650000,2.500000,2.650000,2.650000,22200
2018-05-10,2.600000,2.700000,2.600000,2.650000,2.650000,29500
2018-05-11,2.700000,2.700000,2.500000,2.550000,2.550000,11300
2018-05-14,2.650000,2.650000,2.550000,2.550000,2.550000,7300
2018-05-15,2.550000,2.640000,2.500000,2.640000,2.640000,18200
2018-05-16,2.650000,2.650000,2.550000,2.550000,2.550000,11800
2018-05-17,2.600000,2.650000,2.600000,2.600000,2.600000,2300
2018-05-18,2.550000,2.650000,2.550000,2.600000,2.600000,26700
2018-05-21,2.650000,2.650000,2.500000,2.550000,2.550000,8500
2018-05-22,2.500000,2.550000,2.500000,2.550000,2.550000,2600
2018-05-23,2.530000,2.530000,2.500000,2.500000,2.500000,8100
2018-05-24,2.540000,2.550000,2.490000,2.490000,2.490000,24600
2018-05-25,2.550000,2.550000,2.400000,2.550000,2.550000,76400
2018-05-29,2.500000,2.550000,2.480000,2.500000,2.500000,25000
2018-05-30,2.500000,2.500000,2.400000,2.450000,2.450000,52300
2018-05-31,2.450000,2.450000,2.400000,2.400000,2.400000,6300
2018-06-01,2.400000,2.450000,2.350000,2.400000,2.400000,6100
2018-06-04,2.400000,2.500000,2.350000,2.350000,2.350000,16900
2018-06-05,2.350000,2.450000,2.350000,2.400000,2.400000,24100
2018-06-06,2.400000,2.500000,2.400000,2.400000,2.400000,6600
2018-06-07,2.550000,2.550000,2.350000,2.350000,2.350000,8100
2018-06-08,2.450000,2.500000,2.400000,2.400000,2.400000,16600
2018-06-11,2.350000,2.400000,2.350000,2.350000,2.350000,61600
2018-06-12,2.350000,2.400000,2.300000,2.330000,2.330000,7000
2018-06-13,2.350000,2.400000,2.250000,2.250000,2.250000,13300
2018-06-14,2.300000,2.400000,2.300000,2.350000,2.350000,14400
2018-06-15,2.310000,2.400000,2.310000,2.400000,2.400000,10500
2018-06-18,2.400000,2.400000,2.300000,2.300000,2.300000,7200
2018-06-19,2.300000,2.400000,2.300000,2.350000,2.350000,10200
2018-06-20,2.400000,2.400000,2.350000,2.350000,2.350000,2500
2018-06-21,2.350000,2.400000,2.330000,2.350000,2.350000,2000
