"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2023","101.267","101.735","101.950","101.140","15.26K","-0.51%"
"Apr 03, 2023","101.787","102.270","102.745","101.560","16.16K","-0.39%"
"Mar 31, 2023","102.186","101.905","102.305","101.730","12.30K","0.36%"
"Mar 30, 2023","101.821","102.305","102.460","101.750","8.87K","-0.47%"
"Mar 29, 2023","102.298","102.130","102.440","102.030","10.00K","0.19%"
"Mar 28, 2023","102.106","102.425","102.430","102.040","9.38K","-0.40%"
"Mar 27, 2023","102.518","102.770","102.895","102.480","7.36K","-0.24%"
"Mar 24, 2023","102.764","102.265","103.025","102.165","14.23K","0.54%"
"Mar 23, 2023","102.207","102.095","102.295","101.555","22.48K","0.23%"
"Mar 22, 2023","101.972","102.840","102.910","101.670","19.34K","-0.90%"
"Mar 21, 2023","102.897","102.960","103.145","102.635","12.93K","-0.03%"
"Mar 20, 2023","102.933","103.415","103.640","102.905","14.83K","-0.41%"
"Mar 17, 2023","103.360","104.100","104.125","103.335","18.18K","-0.70%"
"Mar 16, 2023","104.092","104.340","104.405","103.895","27.79K","-0.18%"
"Mar 15, 2023","104.276","103.325","104.720","103.045","27.71K","1.03%"
"Mar 14, 2023","103.215","103.245","103.780","103.085","19.86K","-0.48%"
"Mar 13, 2023","103.713","104.085","104.340","103.730","0.15K","-0.80%"
"Mar 10, 2023","104.552","105.120","105.365","104.025","22.05K","-0.72%"
"Mar 09, 2023","105.305","105.645","105.730","105.135","24.40K","-0.31%"
"Mar 08, 2023","105.634","105.600","105.870","105.335","31.06K","0.04%"
"Mar 07, 2023","105.592","104.275","105.635","104.095","24.98K","1.21%"
"Mar 06, 2023","104.325","104.540","104.665","104.130","21.76K","-0.16%"
"Mar 03, 2023","104.488","104.845","104.985","104.450","19.11K","-0.48%"
"Mar 02, 2023","104.995","104.440","105.155","104.420","18.33K","0.54%"
"Mar 01, 2023","104.432","104.985","105.035","104.045","26.13K","-0.37%"
"Feb 28, 2023","104.825","104.610","104.950","104.360","18.88K","0.19%"
"Feb 27, 2023","104.624","105.210","105.320","104.490","17.99K","-0.51%"
"Feb 24, 2023","105.158","104.445","105.275","104.375","23.92K","0.59%"
"Feb 23, 2023","104.539","104.430","104.735","104.265","15.24K","0.02%"
"Feb 22, 2023","104.523","104.030","104.540","103.945","15.07K","0.39%"
"Feb 21, 2023","104.112","103.850","104.200","103.700","17.92K","0.32%"
"Feb 20, 2023","103.780","103.830","104.020","103.685","9.41K","0.00%"
"Feb 17, 2023","103.780","104.095","104.605","103.765","24.05K","-0.01%"
"Feb 16, 2023","103.791","103.815","104.170","103.465","29.83K","-0.05%"
"Feb 15, 2023","103.839","103.120","104.030","103.070","24.33K","0.69%"
"Feb 14, 2023","103.123","103.100","103.440","102.390","37.12K","-0.12%"
"Feb 13, 2023","103.248","103.435","103.745","103.125","15.17K","-0.28%"
"Feb 10, 2023","103.535","103.120","103.590","102.800","21.58K","0.42%"
"Feb 09, 2023","103.106","103.385","103.450","102.520","21.83K","-0.16%"
"Feb 08, 2023","103.272","103.170","103.385","102.880","17.73K","-0.03%"
"Feb 07, 2023","103.298","103.415","103.850","102.870","27.28K","-0.19%"
"Feb 06, 2023","103.498","102.895","103.650","102.845","37.02K","0.72%"
"Feb 03, 2023","102.755","101.650","102.850","101.380","39.17K","1.16%"
"Feb 02, 2023","101.575","100.750","101.745","100.680","42.49K","0.54%"
"Feb 01, 2023","101.028","101.925","102.015","100.805","36.73K","-0.87%"
"Jan 31, 2023","101.915","102.015","102.450","101.825","31.11K","-0.17%"
"Jan 30, 2023","102.086","101.750","102.125","101.460","21.43K","0.36%"
"Jan 27, 2023","101.721","101.520","101.990","101.490","18.24K","0.08%"
"Jan 26, 2023","101.638","101.395","101.985","101.295","23.08K","0.22%"
"Jan 25, 2023","101.416","101.735","101.890","101.330","23.31K","-0.25%"
"Jan 24, 2023","101.675","101.770","102.205","101.485","22.22K","-0.24%"
"Jan 23, 2023","101.916","101.720","102.040","101.345","21.42K","0.13%"
"Jan 20, 2023","101.781","101.855","102.320","101.700","16.66K","-0.05%"
"Jan 19, 2023","101.831","102.200","102.265","101.760","20.17K","-0.27%"
"Jan 18, 2023","102.107","102.255","102.655","101.265","40.26K","-0.03%"
"Jan 17, 2023","102.141","102.045","102.325","101.680","27.43K","0.19%"
"Jan 16, 2023","101.946","101.900","102.300","101.465","11.92K","0.00%"
"Jan 13, 2023","101.946","102.000","102.395","101.720","24.05K","-0.05%"
"Jan 12, 2023","101.995","102.900","103.100","101.810","52.38K","-0.91%"
"Jan 11, 2023","102.928","102.980","103.230","102.850","22.72K","-0.05%"
"Jan 10, 2023","102.980","102.975","103.250","102.770","20.58K","0.23%"
"Jan 09, 2023","102.743","103.690","103.690","102.680","35.68K","-0.87%"
"Jan 06, 2023","103.646","104.840","105.500","103.620","38.59K","-1.13%"
"Jan 05, 2023","104.828","103.830","105.060","103.780","26.34K","0.78%"
"Jan 04, 2023","104.021","104.375","104.385","103.595","22.70K","-0.28%"
"Jan 03, 2023","104.312","103.445","104.650","103.235","32.36K","1.01%"
"Dec 30, 2022","103.269","103.640","103.865","103.145","22.93K","-0.31%"
"Dec 29, 2022","103.586","104.080","104.215","103.535","14.45K","-0.57%"
"Dec 28, 2022","104.182","104.005","104.270","103.565","19.01K","0.28%"
"Dec 27, 2022","103.893","103.835","104.110","103.585","13.28K","-0.11%"
"Dec 23, 2022","104.010","104.175","104.235","103.815","15.93K","-0.11%"
"Dec 22, 2022","104.127","103.800","104.300","103.435","21.05K","0.27%"
"Dec 21, 2022","103.847","103.625","104.065","103.515","16.95K","0.23%"
"Dec 20, 2022","103.606","104.370","104.415","103.400","30.55K","-0.95%"
"Dec 19, 2022","104.595","104.625","104.655","104.150","0.06K","-0.06%"
"Dec 16, 2022","104.661","104.460","104.815","104.230","15.35K","0.12%"
"Dec 15, 2022","104.532","103.610","104.860","103.500","40.25K","0.76%"
"Dec 14, 2022","103.739","103.990","104.195","103.395","49.73K","-0.20%"
"Dec 13, 2022","103.943","104.940","105.085","103.530","34.51K","-1.10%"
"Dec 12, 2022","105.104","104.850","105.235","104.640","29.21K","0.29%"
"Dec 09, 2022","104.799","104.770","105.200","104.410","38.53K","0.04%"
"Dec 08, 2022","104.756","105.225","105.415","104.685","26.31K","-0.29%"
"Dec 07, 2022","105.056","105.565","105.800","104.820","33.34K","-0.46%"
"Dec 06, 2022","105.542","105.095","105.585","104.850","28.96K","0.29%"
"Dec 05, 2022","105.239","104.435","105.360","104.065","35.49K","0.71%"
"Dec 02, 2022","104.500","104.795","105.575","103.935","43.74K","-0.18%"
"Dec 01, 2022","104.689","105.570","105.860","104.550","43.75K","-1.14%"
"Nov 30, 2022","105.897","106.660","107.150","105.710","37.35K","-0.82%"
"Nov 29, 2022","106.768","106.605","106.820","105.995","24.38K","0.13%"
"Nov 28, 2022","106.632","106.120","106.695","105.255","42.07K","0.68%"
"Nov 25, 2022","105.917","105.845","106.345","105.605","16.78K","-0.05%"
"Nov 24, 2022","105.967","105.880","105.995","105.545","13.44K","0.00%"
"Nov 23, 2022","105.967","107.045","107.135","105.910","31.04K","-1.07%"
"Nov 22, 2022","107.115","107.570","107.660","107.010","20.07K","-0.57%"
"Nov 21, 2022","107.732","106.910","107.895","106.780","23.69K","0.85%"
"Nov 18, 2022","106.826","106.485","106.920","106.230","27.11K","0.22%"
"Nov 17, 2022","106.592","106.250","107.140","105.975","35.05K","0.41%"
"Nov 16, 2022","106.152","106.470","106.665","105.720","46.22K","-0.13%"
"Nov 15, 2022","106.295","106.900","106.995","105.155","75.91K","-0.22%"
"Nov 14, 2022","106.531","106.655","107.150","106.330","40.26K","0.35%"
"Nov 11, 2022","106.164","108.050","108.320","106.140","55.54K","-1.78%"
"Nov 10, 2022","108.092","110.205","110.890","107.585","71.97K","-2.14%"
"Nov 09, 2022","110.460","109.625","110.545","109.355","46.85K","0.84%"
"Nov 08, 2022","109.542","110.000","110.500","109.240","37.00K","-0.41%"
"Nov 07, 2022","109.993","111.000","111.170","109.920","34.39K","-0.71%"
"Nov 04, 2022","110.774","112.875","112.875","110.610","62.90K","-1.80%"
"Nov 03, 2022","112.804","112.030","113.045","111.705","50.91K","1.42%"
"Nov 02, 2022","111.226","111.365","112.025","110.260","48.15K","-0.12%"
"Nov 01, 2022","111.359","111.440","111.655","110.565","36.50K","-0.05%"
"Oct 31, 2022","111.420","110.675","111.535","110.585","24.96K","0.74%"
"Oct 28, 2022","110.606","110.395","110.925","110.135","38.12K","0.14%"
"Oct 27, 2022","110.453","109.450","110.480","109.365","50.40K","0.82%"
"Oct 26, 2022","109.552","110.840","111.015","109.465","50.48K","-1.15%"
"Oct 25, 2022","110.830","111.815","112.065","110.625","49.49K","-0.96%"
"Oct 24, 2022","111.909","111.605","112.465","111.335","40.55K","-0.06%"
"Oct 21, 2022","111.980","112.845","113.835","111.575","113.49K","-0.74%"
"Oct 20, 2022","112.818","112.900","113.030","112.050","39.69K","-0.05%"
"Oct 19, 2022","112.879","111.815","112.995","111.780","34.23K","0.79%"
"Oct 18, 2022","111.994","111.970","112.350","111.630","41.68K","0.08%"
"Oct 17, 2022","111.908","113.170","113.170","111.790","41.50K","-1.14%"
"Oct 14, 2022","113.202","112.475","113.300","112.060","47.79K","0.85%"
