"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2023","2,237.50","2,267.50","2,272.50","2,233.00","","-1.48%"
"06/16/2023","2,271.00","2,270.00","2,269.50","2,270.00","","0.96%"
"06/15/2023","2,249.50","2,237.00","2,236.50","2,237.00","53.92K","-0.18%"
"06/14/2023","2,253.50","2,244.00","2,243.00","2,243.00","47.12K","0.96%"
"06/13/2023","2,232.00","2,235.00","2,235.00","2,234.00","38.41K","0.18%"
"06/12/2023","2,228.00","2,237.00","2,233.00","2,234.00","39.15K","-1.76%"
"06/09/2023","2,268.00","2,266.00","2,265.50","2,266.00","46.04K","0.60%"
"06/08/2023","2,254.50","2,230.00","2,227.00","2,227.00","48.07K","1.60%"
"06/07/2023","2,219.00","2,215.00","2,213.00","2,215.00","48.79K","0.41%"
"06/06/2023","2,210.00","2,220.00","2,218.50","2,219.00","62.46K","-1.52%"
"06/05/2023","2,244.00","2,255.00","2,254.50","2,253.00","56.06K","-0.86%"
"06/02/2023","2,263.50","2,288.00","2,289.00","2,288.00","69.55K","-0.83%"
"06/01/2023","2,282.50","2,260.00","2,252.50","2,253.00","59.20K","1.63%"
"05/31/2023","2,246.00","2,229.00","2,221.00","2,221.50","57.58K","0.99%"
"05/30/2023","2,224.00","2,225.00","2,224.00","2,225.00","48.90K","-0.60%"
"05/26/2023","2,237.50","2,245.00","2,237.00","2,228.00","47.64K","0.29%"
"05/25/2023","2,231.00","2,230.00","2,226.00","2,226.00","59.56K","1.18%"
"05/24/2023","2,205.00","2,229.00","2,228.00","2,229.00","79.56K","-0.99%"
"05/23/2023","2,227.00","2,227.00","2,225.00","2,227.00","59.38K","-1.61%"
"05/22/2023","2,263.50","2,260.00","2,260.00","2,260.00","49.01K","-0.88%"
"05/19/2023","2,283.50","2,297.00","2,295.00","2,297.00","37.97K","0.00%"
"05/18/2023","2,283.50","2,304.00","2,302.00","2,304.00","49.96K","-0.57%"
"05/17/2023","2,296.50","2,277.00","2,273.00","2,273.00","58.17K","1.64%"
"05/16/2023","2,259.50","2,248.00","2,242.00","2,242.50","65.24K","0.00%"
"05/15/2023","2,259.50","2,273.00","2,270.00","2,268.00","54.32K","1.25%"
"05/12/2023","2,231.50","2,237.00","2,236.50","2,237.00","66.67K","0.93%"
"05/11/2023","2,211.00","2,245.00","2,240.00","2,236.00","96.50K","-2.51%"
"05/10/2023","2,268.00","2,285.00","2,280.00","2,280.50","51.23K","-2.24%"
"05/09/2023","2,320.00","2,327.00","2,326.00","2,327.00","54.98K","0.06%"
"05/05/2023","2,318.50","2,292.00","2,290.00","2,292.00","44.97K","1.38%"
"05/04/2023","2,287.00","2,310.00","2,306.00","2,308.00","50.09K","-1.46%"
"05/03/2023","2,321.00","2,348.00","2,342.00","2,343.00","39.43K","-1.92%"
"05/02/2023","2,366.50","2,360.00","2,353.00","2,355.00","55.32K","0.45%"
"04/28/2023","2,356.00","2,358.00","2,342.00","2,340.00","49.68K","1.60%"
"04/27/2023","2,319.00","2,310.00","2,309.50","2,310.00","50.30K","-0.34%"
"04/26/2023","2,327.00","2,356.00","2,355.00","2,356.00","44.97K","-0.36%"
"04/25/2023","2,335.50","2,335.00","2,332.00","2,332.00","55.64K","-1.91%"
"04/24/2023","2,381.00","2,375.00","2,373.00","2,373.00","34.04K","-0.65%"
"04/21/2023","2,396.50","2,400.00","2,398.00","2,398.00","38.98K","-1.01%"
"04/20/2023","2,421.00","2,430.00","2,430.00","2,429.00","55.30K","-0.98%"
"04/19/2023","2,445.00","2,409.00","2,401.00","2,402.00","69.60K","0.33%"
"04/18/2023","2,437.00","2,425.00","2,423.00","2,423.00","65.88K","2.46%"
"04/17/2023","2,378.50","2,371.00","2,370.00","2,371.00","41.56K","-0.29%"
"04/14/2023","2,385.50","2,388.00","2,387.00","2,388.00","47.40K","0.78%"
"04/13/2023","2,367.00","2,370.00","2,365.00","2,334.00","54.90K","1.81%"
"04/12/2023","2,325.00","2,305.00","2,301.50","2,302.00","51.15K","0.98%"
"04/11/2023","2,302.50","2,310.00","2,307.00","2,306.00","52.18K","-1.33%"
"04/06/2023","2,333.50","2,345.00","2,340.50","2,340.50","35.59K","0.00%"
"04/05/2023","2,333.50","2,350.00","2,353.00","2,350.00","41.76K","-1.56%"
"04/04/2023","2,370.50","2,393.00","2,393.00","2,393.00","47.94K","-1.13%"
"04/03/2023","2,397.50","2,430.00","2,429.00","2,430.00","62.87K","-0.64%"
"03/31/2023","2,413.00","2,380.00","2,375.00","2,375.50","39.51K","1.13%"
"03/30/2023","2,386.00","2,388.00","2,386.00","2,388.00","33.56K","0.25%"
"03/29/2023","2,380.00","2,410.00","2,410.00","2,410.00","49.14K","-0.38%"
"03/28/2023","2,389.00","2,362.00","2,360.00","2,361.00","37.35K","1.08%"
"03/27/2023","2,363.50","2,342.00","2,340.00","2,340.50","33.15K","1.13%"
"03/24/2023","2,337.00","2,320.00","2,312.00","2,313.00","48.87K","0.47%"
"03/23/2023","2,326.00","2,313.50","2,313.00","2,313.50","46.76K","1.73%"
"03/22/2023","2,286.50","2,285.00","2,282.00","2,282.50","39.55K","0.88%"
"03/21/2023","2,266.50","2,289.00","2,284.00","2,286.00","55.05K","-0.35%"
"03/20/2023","2,274.50","2,287.00","2,282.50","2,282.50","38.19K","0.02%"
"03/17/2023","2,274.00","2,288.00","2,280.00","2,280.00","50.17K","0.29%"
"03/16/2023","2,267.50","2,295.00","2,286.00","2,287.00","50.62K","-0.42%"
"03/15/2023","2,277.00","2,300.00","2,295.00","2,295.50","74.19K","-3.21%"
"03/14/2023","2,352.50","2,329.00","2,320.00","2,321.00","43.54K","0.81%"
"03/13/2023","2,333.50","2,290.00","2,286.00","2,287.00","74.01K","0.89%"
"03/10/2023","2,313.00","2,300.00","2,297.00","2,297.50","67.68K","-0.64%"
"03/09/2023","2,328.00","2,342.00","2,335.00","2,335.00","31.34K","-1.10%"
"03/08/2023","2,354.00","2,340.00","2,335.00","2,336.00","51.93K","0.17%"
"03/07/2023","2,350.00","2,361.00","2,361.00","2,360.00","38.46K","-1.34%"
"03/06/2023","2,382.00","2,370.00","2,367.00","2,367.00","39.03K","-0.96%"
"03/03/2023","2,405.00","2,410.00","2,403.00","2,404.00","34.22K","0.23%"
"03/02/2023","2,399.50","2,412.00","2,410.00","2,411.00","43.51K","-1.32%"
"03/01/2023","2,431.50","2,415.00","2,405.50","2,406.00","49.09K","2.47%"
"02/28/2023","2,373.00","2,350.00","2,345.00","2,345.00","38.40K","0.42%"
"02/27/2023","2,363.00","2,360.00","2,358.00","2,360.00","39.58K","1.18%"
"02/24/2023","2,335.50","2,356.00","2,355.00","2,356.00","","-2.53%"
"02/23/2023","2,396.00","2,408.00","2,408.00","2,408.00","37.98K","-0.91%"
"02/22/2023","2,418.00","2,432.00","2,428.00","2,428.00","41.89K","-2.01%"
"02/21/2023","2,467.50","2,473.00","2,470.00","2,472.00","43.76K","0.41%"
"02/20/2023","2,457.50","2,430.00","2,428.00","2,428.00","31.17K","2.93%"
